ID,Code,Name,Total FTEs,Total Revenue,Data Collection View,Region,Division,Industry Sector,Mapping Division,Note,Gamma,KT
103,2456,FNAC,7764,2784,Business unit/ Division: Country organization (geography),Western Europe,Retail Trade,Miscellaneous Retail,Retail Trade,,TD,NA

104,2457,Owens Corning,16000,5400,Total company,North America,Manufacturing,Miscellaneous Manufacturing Industries,Manufacturing,,TD,NA

105,2459,Macquarie,3083,1255,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,"Security And Commodity Brokers, Dealers, Exchanges, And Services",Finance & Insurance & Real Estate ,,TD,Macquarie Bank BFS

106,2460,Agrokor,7299,"1189,6",Business unit/ Division: Product organization,Eastern Europe,Manufacturing,Food And Kindred Products,Manufacturing,,TD,NA

107,2461,State Of Denmark,4462,"3232,4",Total company,Western Europe,Public Administration ,Nonclassifiable Establishments,Public Administration ,,TD,NA

108,2465,Kemira,"4560,25",2400,Corporate center only,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,"Salonen, Paula"

109,2466,Nestle,291521,88800,Total company,Western Europe,Wholesale Trade,Food And Kindred Products,Manufacturing,Division and Industry sector mismatch,TD,Eric Cornu

110,2469,Advent International,5758,3110,Total company,North America,Manufacturing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing,,TD,NA

111,2472,GRUPO ARGOS - CELSIA,10200,678,Business unit/ Division: Functional organization,South America,Construction,Building Construction General Contractors And Operative Builders,Construction,,VG,Diego Novoa

112,2475,Essendant,6542,"5234,75",Total company,North America,Wholesale Trade,Wholesale Trade-durable Goods,Wholesale Trade,,VG,Ben Istvan

113,2477,Encevo,1310,2584,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Paul Hoffmann

114,2478,Houghtoun Mifflin Harcourt,4720,1250,Total company,North America,Manufacturing,"Printing, Publishing, And Allied Industries",Manufacturing,,TD,Reihan Nadarajah

115,2481,CENTERBRIDGE - Retail only,8000,900,Business unit/ Division: Product organization,North America,Retail Trade,Apparel And Accessory Stores,Retail Trade,,TD,Centerbridge

116,2483,Denon and Marantz ,840,"416,7",Total company,North America,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,TD,NA

117,2485,General Mills,1462,1000,Total company,Industrialized Asia,Manufacturing,Food And Kindred Products,Manufacturing,,AC,Pefita Kam

118,2486,NYC Health System,50980,"6457,7",Total company,North America,Services,Health Services,Services,,TD,NA

119,2488,CIT,5328,1772,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,NA

120,2490,McCormick,"10233,79",4445,Total company,North America,Manufacturing,Food And Kindred Products,Manufacturing,,TD,NA

121,2491,SCHNEIDER ELECTRIC,1731,806,Business unit/ Division: Country organization (geography),Australia & Oceania,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,TD,Paul Wilkins

122,2492,Trenitalia,30198,"5542,3",Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Railroad Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Trenitalia

123,2494,Powercor,2000,1107,Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

124,2495,United Overseas Bank,24679,8050,Total company,Industrialized Asia,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,NA

125,2496,General Mills,39000,16500,Total company,North America,Manufacturing,Food And Kindred Products,Manufacturing,,AS,NA

126,2503,British Army,95000,6400,Total company,Western Europe,Public Administration ,National Security And International Affairs,Public Administration ,,AS,NA

127,2506,GATES GLOBAL HEALTH AND DEVELOPMENT,125,20,Total company,Industrialized Asia,Services,Health Services,Services,,AS,NA

128,2507,AMP AMP Capital only ,"1163,1",1000,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,"Security And Commodity Brokers, Dealers, Exchanges, And Services",Finance & Insurance & Real Estate ,,AS,NA

129,2508,AMP Organisation excluding AMP Capital ,"5534,4",4000,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AS,NA

130,2511,CHINA THREE GORGES BRASIL,446,1498,Total company,South America,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AS,Silvio Scucuglia

131,2512,SK Capital Partners,2659,1434,Total company,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,NA

132,2517,Brasil Foods,105000,33861,Total company,South America,Manufacturing,Food And Kindred Products,Manufacturing,,AS,Guilherme Campanha

133,2519,BANCO SANTANDER,7364,"10181,37",Business unit/ Division: Country organization (geography),South America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AS,Sofia Voss de Arteaga

134,2520,DCLI,163,"367,7",Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation Services,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Lee Newitt

135,2521,AMPCI,754,644,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AS,NA

136,2522,ELECTRICITE DE FRANCE,14291,8440,Business unit/ Division: Country organization (geography),Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AS,Nick South

137,2523,AMP_WholeOrg,6489,5493,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,"Security And Commodity Brokers, Dealers, Exchanges, And Services",Finance & Insurance & Real Estate ,,AS,NA

138,2525,Advanced Auto parts,74000,9737,Corporate center only,North America,Retail Trade,Automotive Dealers And Gasoline Service Stations,Retail Trade,,AS,Natalie Rothman

139,2526,CORONA INDUSTRIAL,10272,2300000,Total company,South America,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,AS,Alejandro Toro

140,2528,Qualcomm,29000,23554,Total company,North America,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AS,Charlie Sun

141,2529,NXP Semiconductors,14824,9498,Total company,North America,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AS,Charlie Sun

142,2530,Qualcomm & NXP Semiconductors Combined,43824,33052,Total company,North America,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AS,Charlie Sun

143,2531,SA POWER NETWORKS,"2031,4",800,Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AS,Craig Parsons

144,2532,Sanofi Aventis,116557,33821,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Pharmaceuticals,Manufacturing,,AS,NA

145,2535,WUESTENROT & WUERTTEMBERGISCHE,"7031,9","4994,5",Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,TD,Herr Matthias Bogk

146,2536,CVS,250000,"201063,7",Corporate center only,North America,Retail Trade,General Merchandise Stores,Retail Trade,,TD,NA

147,2542,NN Group,11683,13995,Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,AS,NA

148,2543,Wijaya Karya,1776,"1,57E+13",Business unit/ Division: Functional organization,Southeast & Central Asia,Construction,Building Construction General Contractors And Operative Builders,Construction,,AS,Gilang Ramadhan

149,2547,Swiss Re,13750,32200,Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,TD,Alexander Naumann

150,2548,Daimler Trucks,62592,26600,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,Correct: Motor Vehicles And Passenger Car Bodies,AS,Claus Bässler

151,2551,CLESSIDRA CAPITAL PARTNERS,1041,"305,5",Total company,Western Europe,Finance & Insurance & Real Estate ,Holding And Other Investment Offices,Finance & Insurance & Real Estate ,,TD,NA

152,2554,TOTAL E&P NORGE AS,540,NULL,Total company,Western Europe,Mining,Oil And Gas Extraction,Mining,,TD,NA

153,2555,Cooper Tires,10540,2925,Total company,North America,Manufacturing,Rubber And Miscellaneous Plastics Products,Manufacturing,,AS,NA

154,2556,The Body Shop,5333,"920,8",Corporate center only,Western Europe,Retail Trade,Miscellaneous Retail,Retail Trade,,AS,Parikshit Kumar

155,2557,Otto Junker,707,150,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Primary Metal Industries,Manufacturing,,AS,Tobias Wens

156,2560,Xella,1200,311,Business unit/ Division: Product organization,Western Europe,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,AS,NA

157,2561,Hellenic Bank Cyprus,1635,256.414,Total company,Middle East,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AS,NA

158,2563,The Bosch Group,4436,933,Total company,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,FTE number incorrect,TD,Daniel Kathan

159,2566,NYT,3710,1555,Total company,North America,Manufacturing,"Printing, Publishing, And Allied Industries",Manufacturing,,TD,Joy Goldberg

160,2567,American Public Media,450,103,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Danielle Stellner

161,2570,Kohlberg Kravis Roberts & Co,9000,1500,Total company,Western Europe,Retail Trade,Miscellaneous Retail,Retail Trade,,TD,0

